Name,Calories,FatContent,CarbohydrateContent,ProteinContent,SugarContent,SodiumContent,Images,cluster
White Bean Soup,92.7,0.4,17.7,5.1,1.5,602.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/67/90/picTKOduB.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/67/90/piclXWaRs.jpg"")",0
Baked Sausage Potatoes and Cheese,778.1,39.8,83.3,22.9,3.6,1060.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/11/2/picmJDSsO.jpg""",5
Herb Pepper-Encrusted Beef Fillet,138.8,14.4,2.3,0.9,0.0,445.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/96/5/picHLhwH7.jpg""",0
Milk Chocolate Bar Cake,271.3,16.4,30.7,1.8,30.3,81.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/98/0/picmrGoL7.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/98/0/gox8G78GT4CVTqQYka07_C4CE0ACF-4D0A-423C-8CC3-AA3B33C10A3B.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/98/0/gox8G78GT4CVTqQYka07_C4CE0ACF-4D0A-423C-8CC3-AA3B33C10A3B.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/98/0/gox8G78GT4CVTqQYka07_C4CE0ACF-4D0A-423C-8CC3-AA3B33C10A3B.jpeg""
)",0
Turmeric Fried Rice,466.7,14.6,74.6,9.3,1.9,1204.2,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/87/4/12874.jpg""",0
Vegetarian White Bean Soup,189.4,4.9,32.3,5.5,3.6,111.9,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/90/71/pic0xodtL.jpg""",0
Empanadas,1117.0,67.9,84.3,41.1,11.1,1271.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/69/6/deDE9CRSea1nXXrv56jS_cq4%20empanadas.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/69/6/picD45ims.jpg"")",5
Oatmeal Squares,74.3,4.1,8.8,0.9,4.3,44.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/19/bmsnAuDvTsmIN7OpEbd7_IMG_20141230_133042.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/25/19/picNrCwWR.jpg"")",0
Creole Black Beans and Rice,480.1,22.6,46.4,24.5,5.5,1012.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/37/pic6oppXW.jpg""",0
Hooter's Buffalo Wings,866.7,62.6,24.9,48.6,0.5,1709.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/90/picTasvZA.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/8590/nxjBWky8QaGomiNZIQYA_20180128_170927-1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/90/pic9spuBc.jpg"")",5
Shikshuka (Scrambled eggs and tomatoes)(&#1588;&#1603;&#1588;&#1608;&#1603;&#1607;),168.4,9.7,6.4,13.6,3.6,357.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/08/9/picsc9hJw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/08/9/picW5mDPO.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/08/9/picFWxwIH.jpg"")",0
Football Bean Dip,1824.5,84.3,168.1,102.7,31.3,9020.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/23/3/UeVyQzrxSu2D4mGvPZJj_black%20bean%20dip.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/23/3/01486343008.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/23/3/dusp0XhqT0YonzRABjD0_black%20bean%20dip.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/23/3/og099DQSTwG1FayjDXA5_black%20bean%20dip.JPG"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/23/3/picAxQdwP.jpg"")",2
Velveeta Cheese Fudge II,2140.3,90.9,323.1,19.4,303.2,1818.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/33/13/pichTpq0q.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/3313/5MbddYAbT6q4mFwe2tzU_0687D661-A71C-4575-ACDC-C4A19EDA86C5.jpeg"")",2
Spicy Pork and Black Bean Chili,353.7,17.8,24.9,24.4,4.8,163.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/29/87/Q43wEVNjTsC9ZETfA5EJ_Photo%20Jan%2025%2C%2019%2018%2001.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/29/87/picQ96E9C.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/29/87/uXRSrAhaTtWVCK3Ow1RU_2015-01-25%2019.17.37.jpg"")",0
Old Bay Seasoning,8.0,0.5,0.9,0.4,0.1,2.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/79/1/picz1p2E8.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/79/1/picl7ltYY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/79/1/piciag5Bn.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/79/1/pict8XHK1.jpg"")",0
New Year's Pretzels,2786.0,73.5,462.3,66.5,111.1,2994.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/78/30/piciIDlzj.jpg""",2
Orange Potato Bread,2859.6,57.8,534.4,58.0,231.4,4455.3,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/72/84/4XLk0YdXQE6wiFvgT3WD-orange-bread.jpg""",2
Coconut Cookies,70.8,3.3,9.6,0.9,5.3,71.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/pic0ZfnnA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/picP6tdW2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/picTSPTpg.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/picbltimz.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/picnz3nam.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/pic37RmtT.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/pic4z8RBS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/43/pic8Nti1B.jpg"")",0
Homemade Bread,378.8,11.6,59.4,8.7,11.2,395.3,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/72/5/picLcOAqQ.jpg""",0
Fiesta Corn,137.3,2.0,30.2,4.6,3.5,18.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/26/6/picTRp6qo.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/26/6/picYYWnRM.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/26/6/picRHrhrN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/26/6/picoADxoV.jpg"")",0
Chocolate Chip Cookies (Grandma's From-Scratch - It's Easy!),140.1,8.2,17.1,1.6,11.5,50.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/y5LH1ZjATtCTrNU51c5H-1389203995096.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/picLZUFGs.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/pic2j3wQ3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/pichOoQdu.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/picbo2www.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/picHVXebC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/picXWlNs1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/picpKB6Fr.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/picBluIsF.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/02/6/picM0nkUu.jpg"")",0
Home-Style Meatballs (Albondigas Caseras),3702.5,268.9,88.8,200.2,17.5,6523.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/1/picaC0QKB.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/1/pic2gOUjv.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/35/1/pic5f2vU5.jpg"")",1
Papaya and Mango Jam,452.0,0.6,116.2,1.2,112.0,7.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/68/8/pic6Z36Tu.jpg""",0
Barbecued Pork Strips,188.8,5.2,13.4,20.6,11.7,656.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/29/37/picXUgTqA.jpg""",0
Cucumber-Mint Salad,26.5,0.1,5.8,0.7,3.1,293.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/83/pic1N80Ow.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/83/picpNAh66.jpg"")",0
Golden Sugar Cookies,4436.4,196.2,641.9,39.6,401.1,3171.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/29/picKMgwoT.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/29/pichmQseB.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/29/picgAr23D.jpg"")",1
Irish Coffee,127.6,0.1,4.2,0.6,4.2,10.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/72/picxoA2ar.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/72/picjDNdsQ.jpg"")",0
Cream Puffs,130.2,9.4,8.1,3.2,0.2,78.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/39/3/pich1kvI3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/39/3/picYni1dG.jpg"")",0
Holiday Beans With Cranberries,110.2,2.4,18.9,4.0,11.6,122.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/05/5/pic1jAeh0.jpg""",0
Garlic Spaghetti Sauce,247.7,25.1,5.8,1.4,0.2,104.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/80/8/picPOzrQ7.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/10808/OjXumHuPRQqrijUO6Qyl_20180311_200343.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/80/8/picfNXHfJ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/80/8/ggzHpecqQI2gbwKy5dSc_pasta.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/80/8/picAvo1rs.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/80/8/picHWk5fK.jpg"")",0
Mississippi Candied Yams,3255.3,95.3,599.7,23.7,212.3,720.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/95/2a5fEIfSD6ph2uVynAsY-IMG_8991.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/95/jsUz6SYxRtibHVKj7GWW-IMG_8997.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/95/Ab0Tp8S1um0sgYay3j0A-IMG_8989.JPG"")",2
Chicken Chasseur,557.2,32.7,18.5,37.3,7.1,743.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/17/78/picHjXGaO.jpg""",5
German Scones (deep fried),1778.0,55.9,274.7,41.7,57.6,2975.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/62/7/picoph6mX.jpg""",2
Sour Cream Coffee Cake,4348.4,280.9,420.4,56.8,261.9,4104.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/72/34/pickQQQVt.jpg""",1
Ooey Gooey Cinnamon Rolls,889.1,43.3,118.2,10.2,53.1,775.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/ZZC9JVKeQRy7CxLgquhS_untitled-2568.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/MJsWxtIcSDa6g3yTILgG_untitled-2567.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/UYqKlsTGWc4aOO7zMJuA_untitled-2599.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/XJ79DnIdQbyTzeQuSZyR_IMG_20190801_125002.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/01478013955.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/01478013794.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/Zmc7OkpuSja0ajbhe6io_DSC_0165.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/e6oemEy9SXSaNfN3lh8T_DSC_0167.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/rDKd9nPTQSSEwmd9KoFl_DSC_0169.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/pic84zJnf.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/picuHsZD7.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/picOk2GEj.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/picDmsCu0.jpg""
)",5
Kentucky Pie,718.6,47.0,77.1,6.7,56.5,242.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/98/pic4ZKRmy.jpg""",5
Russian Tea II,1825.5,1.7,462.1,7.2,434.5,25.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/11/picFkK5uV.jpg""",2
Blueberry Muffins,161.6,5.0,29.1,4.3,13.1,175.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/41/picO0Dfcz.jpg""",0
Weeknight Spaghetti Pie,1456.3,79.0,105.2,77.8,14.6,1762.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/50/9/pic0nEPX9.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/50/9/picdDVoOP.jpg"")",5
Spicy Thai Peanut Sauce,1070.6,92.8,37.9,37.5,15.1,2800.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/93/88/pic5NzfD6.jpg""",5
Akoori - Indian Scrambled Eggs,246.8,16.9,10.1,13.7,5.2,144.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/34/6ABN7dw0SmCQDaXsBn7S_IMG_20140518_093913.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/34/pic5oYukd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/34/picbrDUww.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/34/picfXV78Z.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/34/picnd27x1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/34/picW1JyUX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/52/34/pic1sClSP.jpg"")",0
Americana Key Lime Pie,406.9,23.2,44.6,7.0,33.9,247.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/75/50/picCxCV85.jpg""",0
Grandma's Oatmeal Toll-House Cookies,6084.1,327.7,780.5,67.5,495.9,3824.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/74/picJCiy5F.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/74/pictiSrNq.jpg"")",1
Chicken With Olives,395.2,15.5,28.5,29.1,13.2,338.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/13/7/picJLaFGF.jpg""",0
Shrimp in Hot Cocktail Sauce,177.1,2.4,6.5,30.8,3.3,609.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/37/picrcpGyZ.jpg""",0
Lemon Garlic Roast Chicken,252.2,17.4,1.4,21.6,0.3,80.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/15/59/picD4eVbs.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/15/59/picC3HCk6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/15/59/picqxmG9i.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/15/59/pictz0Rfx.jpg"")",0
